time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene
24_04_2021 00h07min21seg,246,-1,3440,416,225,600,500,0,0,3040,0,531,0,100,0
24_04_2021 00h07min39seg,247,-1,3575,365,10,600,400,0,0,2925,0,699,0,0,0
24_04_2021 00h07min56seg,248,-1,3275,327,33,600,400,0,0,2625,0,699,0,0,0
24_04_2021 00h08min15seg,249,-1,3820,391,18,600,400,0,0,3170,0,727,0,0,0
24_04_2021 00h08min34seg,250,-1,3705,392,7,600,400,0,0,3155,0,615,0,0,0
24_04_2021 00h08min52seg,251,-1,3215,319,23,600,400,0,0,2565,0,671,0,0,0
24_04_2021 00h09min09seg,252,-1,3185,315,27,600,400,0,0,2535,0,699,0,0,0
24_04_2021 00h09min26seg,253,-1,3115,329,3,600,400,0,0,2565,0,503,0,0,0
24_04_2021 00h09min44seg,254,-1,3590,365,9,600,400,0,0,2940,0,699,0,0,0
24_04_2021 00h10min03seg,255,-1,3765,384,25,600,400,0,0,3115,0,699,0,0,0
24_04_2021 00h10min23seg,256,-1,3910,406,21,600,400,0,0,3260,0,699,0,0,0
24_04_2021 00h10min41seg,257,-1,3460,349,16,600,400,0,0,2810,0,643,0,0,0
24_04_2021 00h10min59seg,258,-1,3520,378,29,600,400,0,0,3020,0,643,0,0,0
24_04_2021 00h11min17seg,259,-1,3420,345,33,600,400,0,0,2770,0,671,0,0,0
24_04_2021 00h11min34seg,260,-1,3025,296,10,600,400,0,0,2375,0,727,0,0,0
24_04_2021 00h11min52seg,261,-1,2525,356,6,600,500,0,0,2675,0,419,0,500,0
24_04_2021 00h12min12seg,262,-1,2360,407,287,600,500,0,0,2810,0,139,0,600,0
24_04_2021 00h12min31seg,263,-1,3345,386,201,600,500,0,0,2845,0,615,0,100,0
24_04_2021 00h12min48seg,264,-1,3365,336,27,600,400,0,0,2715,0,727,0,0,0
24_04_2021 00h13min11seg,265,-1,1620,1031,1327,600,800,0,0,1970,0,0,0,400,0
24_04_2021 00h13min31seg,266,-1,2080,563,707,600,800,0,0,2330,0,0,0,400,0
24_04_2021 00h13min50seg,267,-1,3535,360,25,600,400,0,0,2885,0,699,0,0,0
24_04_2021 00h14min06seg,268,-1,3035,296,9,600,400,0,0,2385,0,755,0,0,0
24_04_2021 00h14min25seg,269,-1,3775,396,29,600,400,0,0,3175,0,615,0,0,0
24_04_2021 00h14min45seg,270,-1,3780,391,22,600,400,0,0,3130,0,699,0,0,0
24_04_2021 00h15min03seg,271,-1,3300,340,20,600,400,0,0,2700,0,643,0,0,0
24_04_2021 00h15min21seg,272,-1,3180,350,6,600,400,0,0,2680,0,587,0,0,0
24_04_2021 00h15min38seg,273,-1,3435,345,24,600,400,0,0,2785,0,671,0,0,0
24_04_2021 00h15min56seg,274,-1,3365,338,6,600,400,0,0,2715,0,615,0,0,0
24_04_2021 00h16min15seg,275,-1,3800,391,21,600,400,0,0,3150,0,727,0,0,0
24_04_2021 00h16min34seg,276,-1,3865,400,15,600,400,0,0,3215,0,671,0,0,0
24_04_2021 00h16min52seg,277,-1,3505,371,0,600,400,0,0,2955,0,615,0,0,0
24_04_2021 00h17min09seg,278,-1,3300,330,32,600,400,0,0,2650,0,699,0,0,0
24_04_2021 00h17min28seg,279,-1,3770,389,0,600,400,0,0,3120,0,671,0,0,0
