time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
26_04_2021 19h09min36seg,244,-1,5915,649,10,600,400,0,0,5265,0,699,0,0,0,10400
26_04_2021 19h10min08seg,245,-1,4445,615,1117,600,700,0,0,4345,0,0,0,300,0,10360
26_04_2021 19h10min56seg,246,-1,8255,874,8,750,400,0,0,7855,0,783,0,150,0,14820
26_04_2021 19h11min26seg,247,-1,5922,579,104,750,475,0,0,5115,232,307,22,225,0,10220
26_04_2021 19h11min51seg,248,-1,3643,439,806,600,775,0,0,3140,228,0,0,375,0,8000
26_04_2021 19h12min22seg,249,-1,6109,591,109,750,475,0,0,5370,164,251,22,225,0,10440
26_04_2021 19h13min00seg,250,-1,4760,1511,1790,750,1150,0,0,5460,0,0,0,1050,0,11840
26_04_2021 19h13min50seg,251,-1,8380,925,3,700,400,0,0,7930,0,643,0,100,0,15520
26_04_2021 19h14min15seg,252,-1,5060,493,15,650,400,0,0,4410,0,727,0,50,0,8180
26_04_2021 19h14min46seg,253,-1,5905,650,3,600,400,0,0,5255,0,671,0,0,0,10420
26_04_2021 19h15min10seg,254,-1,4890,463,2,750,400,0,0,4240,0,867,0,150,0,8240
26_04_2021 19h15min35seg,255,-1,4606,447,271,750,475,0,0,3935,196,0,0,325,0,8320
26_04_2021 19h16min33seg,256,-1,7278,1633,1601,1050,1375,0,0,7105,848,0,0,1375,50,16360
26_04_2021 19h17min24seg,257,-1,7337,919,546,600,775,0,0,7050,112,0,0,375,0,15060
26_04_2021 19h17min48seg,258,-1,4675,500,10,600,400,0,0,4025,0,727,0,0,0,8020
26_04_2021 19h18min13seg,259,-1,5315,460,2,750,400,0,0,4665,0,867,0,150,0,8180
26_04_2021 19h18min43seg,260,-1,3891,567,834,600,925,0,0,3730,236,0,0,675,0,9460
