time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
27_04_2021 13h47min28seg,131,1,6048,678,1721,1150,1025,0,400,4830,668,503,134,1675,0,11440
27_04_2021 13h48min52seg,132,1,9110,3805,5659,1750,1375,0,400,7935,1000,223,67,2775,475,25360
27_04_2021 13h50min20seg,133,0,12794,1800,1883,600,775,0,0,10800,944,0,67,375,0,28800
27_04_2021 13h51min54seg,134,0,13950,1613,2938,1150,775,0,0,10800,2250,0,0,1525,0,28800
27_04_2021 13h53min31seg,135,0,13382,6245,3014,1100,1375,0,0,12020,312,307,67,1425,50,28800
27_04_2021 13h55min03seg,136,0,11450,5030,6115,600,1375,0,0,9740,660,307,67,925,50,28800
27_04_2021 13h56min34seg,137,0,11830,3448,8990,1100,1150,0,0,10780,0,0,0,1250,0,28800
27_04_2021 13h58min00seg,138,0,11850,1783,4260,650,400,0,0,10800,0,0,0,50,0,28800
27_04_2021 13h59min30seg,139,0,12379,1910,1809,750,1225,0,0,11265,64,83,0,975,0,28800
27_04_2021 14h01min00seg,140,1,10384,4818,5272,2100,1375,0,400,8510,1324,447,156,2625,350,26020
27_04_2021 14h02min27seg,141,1,12650,3780,3708,1950,1375,0,400,10740,1460,139,156,2825,100,24240
27_04_2021 14h04min01seg,142,1,11265,3448,1228,1950,1150,0,400,10715,0,139,0,2600,0,28280
27_04_2021 14h05min29seg,143,0,12618,1783,1941,650,675,0,0,10800,768,0,67,425,0,28800
27_04_2021 14h06min57seg,144,0,11850,1783,3963,650,700,0,0,10800,0,0,0,350,0,28800
27_04_2021 14h08min26seg,145,0,13253,2202,1138,1150,1225,0,0,11175,1028,223,111,1375,0,28800
27_04_2021 14h09min55seg,146,1,12084,4525,473,900,1300,0,400,10830,204,167,67,1175,25,27660
27_04_2021 14h11min22seg,147,0,12702,2092,1642,900,1225,0,0,10960,692,27,156,1175,0,28800
27_04_2021 14h12min47seg,148,0,12669,1800,562,600,675,0,0,11255,364,139,67,275,0,28800
27_04_2021 14h14min05seg,149,1,11430,2402,2879,1750,1150,0,400,10380,0,335,0,1900,0,22340
27_04_2021 14h15min17seg,150,1,11622,1498,221,1800,1075,0,400,9650,972,419,156,2025,0,20180
27_04_2021 14h16min50seg,151,0,13525,1947,1200,1150,1025,0,0,10795,1780,0,156,1375,0,28800
27_04_2021 14h18min18seg,152,0,11850,1983,2650,600,1150,0,0,10800,0,0,0,750,0,28800
27_04_2021 14h19min52seg,153,0,13521,2139,4607,1150,1375,0,0,10795,1676,0,156,1475,50,28800
27_04_2021 14h21min36seg,154,0,12928,1783,704,650,775,0,0,10800,1228,0,67,1025,0,28800
27_04_2021 14h23min22seg,155,0,11850,3279,8973,1100,1150,0,0,10800,0,0,0,1250,0,28800
27_04_2021 14h24min28seg,156,1,7544,1864,786,1950,1225,0,400,5720,1324,503,156,2725,0,15480
27_04_2021 14h26min07seg,157,0,11855,1749,6935,750,400,0,0,10805,0,27,0,150,0,28800
27_04_2021 14h27min59seg,158,0,12290,2580,4037,1100,1150,0,0,11240,0,55,0,1250,0,28800
27_04_2021 14h29min50seg,159,0,9600,5569,9543,1100,1150,0,0,8550,0,559,0,1250,0,28800
27_04_2021 14h31min56seg,160,0,14072,6645,3241,1100,1225,0,0,10790,2232,0,156,1325,0,28800
27_04_2021 14h33min47seg,161,0,14085,6824,6195,1150,1175,0,0,10785,2250,0,0,1275,50,28800
27_04_2021 14h35min26seg,162,0,12093,5073,2235,650,1225,0,0,10795,248,0,0,875,0,28800
27_04_2021 14h36min59seg,163,0,12701,1698,1291,900,775,0,0,11295,356,223,0,675,0,28800
27_04_2021 14h38min29seg,164,0,11710,2034,2267,1400,1150,0,0,11210,0,83,0,2250,0,28800
27_04_2021 14h40min19seg,165,0,12952,3551,1240,1950,1225,0,0,10800,1652,0,156,2725,0,28800
27_04_2021 14h41min55seg,166,0,11966,4947,3364,1000,1375,0,0,11080,836,27,134,2325,350,28800
27_04_2021 14h43min26seg,167,0,12856,1749,2406,750,775,0,0,10790,1016,0,0,525,0,28800
27_04_2021 14h44min56seg,168,0,13126,1749,4436,750,775,0,0,10800,1276,0,67,525,0,28800
27_04_2021 14h46min28seg,169,0,12781,2625,455,750,1225,0,0,11415,316,111,0,1025,25,28800
27_04_2021 14h47min55seg,170,0,12589,1800,829,600,475,0,0,11195,444,195,67,175,0,28800
